State,Month,no2
Nevada,07/2015,8.875695877049182
Nevada,08/2015,13.074346712328767
Nevada,09/2015,15.003528863013699
Nevada,10/2015,15.216467309210525
Nevada,11/2015,17.8757855
Nevada,12/2015,19.120383367741933
New Hampshire,01/2015,5.285294354838709
New Hampshire,02/2015,5.838817178571428
New Hampshire,03/2015,4.107523967741936
New Hampshire,04/2015,2.496360866666666
New Hampshire,05/2015,2.2590128666666667
New Hampshire,06/2015,2.0928161666666667
New Hampshire,07/2015,1.8537574838709678
New Hampshire,08/2015,1.825238387096774
New Hampshire,09/2015,2.249296566666667
New Hampshire,10/2015,2.7911975161290323
New Hampshire,11/2015,4.3769416
New Hampshire,12/2015,5.791023838709678
New Jersey,01/2015,16.8642137400722
New Jersey,02/2015,19.483480980237154
New Jersey,03/2015,18.813540304659497
New Jersey,04/2015,13.877792726923078
New Jersey,05/2015,13.454826237903225
New Jersey,06/2015,11.337540169491527
New Jersey,07/2015,10.412702082437276
New Jersey,08/2015,9.73047828673835
New Jersey,09/2015,12.69886965283019
New Jersey,10/2015,12.092212340501792
New Jersey,11/2015,16.109351962962965
New Jersey,12/2015,17.287560137184116
New York,01/2015,16.471646576744188
New York,02/2015,18.866118152631575
New York,03/2015,18.282620597087377
New York,04/2015,12.352939970588235
New York,05/2015,12.347657594470045
New York,06/2015,9.209133866666665
New York,07/2015,10.26020015348837
New York,08/2015,9.45353088317757
New York,09/2015,10.707715771428571
New York,10/2015,10.852039506912442
New York,11/2015,13.981067196078433
New York,12/2015,14.978898571428571
New Mexico,01/2015,10.194783033755275
New Mexico,02/2015,7.627041098654709
New Mexico,03/2015,6.645332963636363
New Mexico,04/2015,4.475802118518518
New Mexico,05/2015,3.9326313333333327
New Mexico,06/2015,4.1011543656716425
New Mexico,07/2015,3.752476654545455
New Mexico,08/2015,4.766507677419355
New Mexico,09/2015,5.476050692592593
New Mexico,10/2015,6.689332488970588
New Mexico,11/2015,7.827420657992566
New Mexico,12/2015,9.285273408088235
Oklahoma,01/2015,9.333526802816902
Oklahoma,02/2015,7.725544564285714
Oklahoma,03/2015,7.549403651612904
Oklahoma,04/2015,7.048761431372549
Oklahoma,05/2015,7.042606444444445
Oklahoma,06/2015,6.9107687333333345
Oklahoma,07/2015,6.827346232258066
Oklahoma,08/2015,9.110571333333334
Oklahoma,09/2015,8.567573333333334
Oklahoma,10/2015,8.980183183006535
Oklahoma,11/2015,8.302384459459459
Oklahoma,12/2015,9.582538285714286
Ohio,01/2015,14.546688470588235
Ohio,02/2015,16.294886279761904
Ohio,03/2015,16.707823021978022
Ohio,04/2015,14.199187841772153
Ohio,05/2015,11.97629905376344
Ohio,06/2015,9.775935083333334
Ohio,07/2015,10.053728279411764
Ohio,08/2015,10.075549082949307
Ohio,09/2015,11.452087866666666
Ohio,10/2015,10.347078674876848
Ohio,11/2015,13.923976709523808
Ohio,12/2015,11.937693788018432
Oregon,01/2015,11.740353849999998
Oregon,02/2015,12.425675071428572
Oregon,03/2015,14.828129451612902
Oregon,04/2015,12.39160191666667
Oregon,05/2015,10.106974693548388
Oregon,06/2015,9.810790483333331
Oregon,07/2015,9.123047910714286
Oregon,08/2015,10.443721661290324
Oregon,09/2015,12.5721791
Oregon,10/2015,13.06185661290323
Oregon,11/2015,11.564655750000002
Oregon,12/2015,10.654814338709679
Pennsylvania,01/2015,12.401573051364364
Pennsylvania,02/2015,13.33262731826087
Pennsylvania,03/2015,12.651648042519684
Pennsylvania,04/2015,8.340811062397373
Pennsylvania,05/2015,6.948142350482314
Pennsylvania,06/2015,5.541018426870749
Pennsylvania,07/2015,5.9021406
Pennsylvania,08/2015,6.351740586319218
Pennsylvania,09/2015,7.173248855614972
Pennsylvania,10/2015,7.513077121794872
Pennsylvania,11/2015,9.76223600324149
Pennsylvania,12/2015,9.966867359677419
Tennessee,01/2015,13.559477427350428
Tennessee,02/2015,11.696844339285715
Tennessee,03/2015,12.042814060344828
Tennessee,04/2015,10.38685757142857
Tennessee,05/2015,8.278072333333334
Tennessee,06/2015,8.053163373239437
Tennessee,07/2015,7.770241986486488
Tennessee,08/2015,7.471350948387097
Tennessee,09/2015,8.141771046979866
Tennessee,10/2015,9.080068941935483
Tennessee,11/2015,8.8546452
Tennessee,12/2015,9.572861372549019
Texas,01/2015,10.508607012949641
Texas,02/2015,8.381260583865814
Texas,03/2015,7.513921163829789
Texas,04/2015,5.608354639568345
Texas,05/2015,4.468259315972222
Texas,06/2015,4.393378744817728
Texas,07/2015,3.1824784955264964
Texas,08/2015,5.931955273170732
Texas,09/2015,6.642585365871295
Texas,10/2015,8.198730102992345
Texas,11/2015,7.942874423269094
Texas,12/2015,9.282099000690131
Utah,01/2015,17.39084158387097
Utah,02/2015,9.669112220735787
Utah,03/2015,8.573477771084338
Utah,04/2015,4.846546870848708
Utah,05/2015,4.151521785992218
Utah,06/2015,4.309031296296297
Utah,07/2015,3.8619059762845853
Utah,08/2015,5.271271788590603
Utah,09/2015,6.17094009202454
Utah,10/2015,6.828130636075949
Utah,11/2015,6.244161173770493
Utah,12/2015,11.804597886740329
Vermont,01/2015,10.413471258064515
Vermont,02/2015,13.498937464285715
Vermont,03/2015,10.639181387096773
Vermont,04/2015,7.301232586206897
Vermont,05/2015,5.663133693548387
Vermont,06/2015,4.085977266666667
Vermont,07/2015,4.347244967741935
Vermont,08/2015,4.142622290322581
Vermont,09/2015,5.348637383333332
Vermont,10/2015,5.973582161290323
Vermont,11/2015,7.516366250000001
Vermont,12/2015,8.099018967741936
Virginia,01/2015,11.102865473053892
Virginia,02/2015,11.302852367213116
Virginia,03/2015,10.313204841176471
Virginia,04/2015,7.2956211553398065
Virginia,05/2015,5.648436654761905
Virginia,06/2015,5.23545751242236
Virginia,07/2015,5.205307298816568
Virginia,08/2015,5.686814019607843
Virginia,09/2015,6.129312830000001
Virginia,10/2015,7.095997368243244
Virginia,11/2015,9.767277848484849
Virginia,12/2015,9.07518953896104
West Virginia,01/2015,0.0
West Virginia,02/2015,0.0
West Virginia,03/2015,0.0
West Virginia,04/2015,0.0
West Virginia,05/2015,0.0
West Virginia,06/2015,0.0
West Virginia,07/2015,0.0
West Virginia,08/2015,0.0
West Virginia,09/2015,0.0
West Virginia,10/2015,0.0
West Virginia,11/2015,0.0
West Virginia,12/2015,0.0
Washington,01/2015,15.531900698924732
Washington,02/2015,14.893117000000002
Washington,03/2015,16.409892
Washington,04/2015,13.63304126153846
Washington,05/2015,12.872212215053763
Washington,06/2015,10.75959975949367
Washington,07/2015,11.94992559139785
Washington,08/2015,12.327294526881722
Washington,09/2015,10.727668372093023
Washington,10/2015,14.151778634920635
Washington,11/2015,14.580309242424242
Washington,12/2015,11.704253448275862
Wisconsin,01/2015,9.912422612903226
Wisconsin,02/2015,10.568044246376813
Wisconsin,03/2015,12.42091533802817
Wisconsin,04/2015,7.690879634146341
Wisconsin,05/2015,6.600538447916667
Wisconsin,06/2015,5.732057841666667
Wisconsin,07/2015,5.84698714516129
Wisconsin,08/2015,5.883653796747968
Wisconsin,09/2015,8.364070891304351
Wisconsin,10/2015,8.59006817105263
Wisconsin,11/2015,13.599845966666665
Wisconsin,12/2015,11.499817274193548
Wyoming,01/2015,4.322089275303643
Wyoming,02/2015,3.0155971397058825
Wyoming,03/2015,3.5855905578231293
Wyoming,04/2015,2.6135613687752355
Wyoming,05/2015,1.8647650189633374
Wyoming,06/2015,2.1718229754433835
Wyoming,07/2015,2.3202539272237197
Wyoming,08/2015,2.809680714876033
Wyoming,09/2015,2.84398976070901
Wyoming,10/2015,2.9968448677098154
Wyoming,11/2015,2.805542370317003
Wyoming,12/2015,3.5551019144021736
