State,Month,pm10
Nebraska,01/2015,20.118110236220474
Nebraska,02/2015,17.07894736842105
Nebraska,03/2015,28.007246376811594
Nebraska,04/2015,23.60483870967742
Nebraska,05/2015,17.161016949152543
Nebraska,06/2015,24.508333333333333
Nebraska,07/2015,25.913385826771652
Nebraska,08/2015,22.6953125
Nebraska,09/2015,26.910569105691057
Nebraska,10/2015,31.292035398230087
Nebraska,11/2015,17.66386554621849
Nebraska,12/2015,14.948717948717949
Nevada,01/2015,18.973983739837397
Nevada,02/2015,16.009140767824498
Nevada,03/2015,15.850891410048622
Nevada,04/2015,21.600633914421554
Nevada,05/2015,15.705047318611987
Nevada,06/2015,18.747041420118343
Nevada,07/2015,18.531437125748504
Nevada,08/2015,21.884437596302003
Nevada,09/2015,21.68916797488226
Nevada,10/2015,14.266369047619047
Nevada,11/2015,16.40224358974359
Nevada,12/2015,16.08541973490427
New Hampshire,01/2015,11.366666666666667
New Hampshire,02/2015,10.333333333333334
New Hampshire,03/2015,9.642857142857142
New Hampshire,04/2015,7.918918918918919
New Hampshire,05/2015,17.307692307692307
New Hampshire,06/2015,11.81081081081081
New Hampshire,07/2015,16.2972972972973
New Hampshire,08/2015,13.64102564102564
New Hampshire,09/2015,14.102564102564102
New Hampshire,10/2015,8.146341463414634
New Hampshire,11/2015,8.425
New Hampshire,12/2015,7.358974358974359
New Jersey,01/2015,17.434782608695652
New Jersey,02/2015,19.35
New Jersey,03/2015,21.875
New Jersey,04/2015,14.681818181818182
New Jersey,05/2015,25.625
New Jersey,06/2015,21.333333333333332
New Jersey,07/2015,21.391304347826086
New Jersey,08/2015,17.541666666666668
New Jersey,09/2015,24.333333333333332
New Jersey,10/2015,21.6
New Jersey,11/2015,20.92
New Jersey,12/2015,21.68
New York,01/2015,0.0
New York,02/2015,0.0
New York,03/2015,0.0
New York,04/2015,0.0
New York,05/2015,0.0
New York,06/2015,0.0
New York,07/2015,0.0
New York,08/2015,0.0
New York,09/2015,0.0
New York,10/2015,0.0
New York,11/2015,0.0
New York,12/2015,0.0
New Mexico,01/2015,17.228125
New Mexico,02/2015,21.232876712328768
New Mexico,03/2015,20.749244712990937
New Mexico,04/2015,27.765472312703583
New Mexico,05/2015,21.712025316455698
New Mexico,06/2015,27.69407894736842
New Mexico,07/2015,18.7760736196319
New Mexico,08/2015,23.977777777777778
