State,Month,co
Utah,09/2018,0.29095875151515155
Utah,10/2018,0.2716692891891892
Utah,11/2018,0.398474776119403
Utah,12/2018,0.43292565161290325
Vermont,01/2018,0.23561157526881718
Vermont,02/2018,0.25162357142857145
Vermont,03/2018,0.23124541935483867
Vermont,04/2018,0.2383639166666667
Vermont,05/2018,0.21964515555555555
Vermont,06/2018,0.1780725287356322
Vermont,07/2018,0.18087903296703298
Vermont,08/2018,0.23223300000000002
Vermont,09/2018,0.20830558426966295
Vermont,10/2018,0.16299126111111112
Vermont,11/2018,0.20905841618497112
Vermont,12/2018,0.24485967741935485
Virginia,01/2018,0.28473987817258883
Virginia,02/2018,0.28049516927083334
Virginia,03/2018,0.22741242688679245
Virginia,04/2018,0.2121681357142857
Virginia,05/2018,0.2481782546728972
Virginia,06/2018,0.2674711269430052
Virginia,07/2018,0.27435605980861244
Virginia,08/2018,0.2992377880184332
Virginia,09/2018,0.2765933603818616
Virginia,10/2018,0.25842128873239434
Virginia,11/2018,0.26840259313725495
Virginia,12/2018,0.3281605895522388
West Virginia,01/2018,0.3047304516129032
West Virginia,02/2018,0.25307467441860465
West Virginia,03/2018,0.2721110769230769
West Virginia,04/2018,0.24117253333333333
West Virginia,05/2018,0.1697013387096774
West Virginia,06/2018,0.2055461333333333
West Virginia,07/2018,0.22730732258064512
West Virginia,08/2018,0.21615182258064516
West Virginia,09/2018,0.1835535
West Virginia,10/2018,0.19899945833333335
West Virginia,11/2018,0.22699301666666666
West Virginia,12/2018,0.2733191612903226
Washington,01/2018,0.2777786277777778
Washington,02/2018,0.24766920253164557
Washington,03/2018,0.2603608397790056
Washington,04/2018,0.22919842222222225
Washington,05/2018,0.22304722282608697
Washington,06/2018,0.1953021222222222
Washington,07/2018,0.2180907282608696
Washington,08/2018,0.22603240000000005
Washington,09/2018,0.2578088642857143
Washington,10/2018,0.2909028444444444
Washington,11/2018,0.26601175301204816
Washington,12/2018,0.2541975
Wisconsin,01/2018,0.26444987735849057
Wisconsin,02/2018,0.25611223214285717
Wisconsin,03/2018,0.22880654032258066
Wisconsin,04/2018,0.22275853333333331
Wisconsin,05/2018,0.22697966129032257
Wisconsin,06/2018,0.21064984999999997
Wisconsin,07/2018,0.22047984677419355
Wisconsin,08/2018,0.27788381451612904
Wisconsin,09/2018,0.23390853333333336
Wisconsin,10/2018,0.2323811209677419
Wisconsin,11/2018,0.22516899166666668
Wisconsin,12/2018,0.23926623387096774
Wyoming,01/2018,0.10583599462365591
Wyoming,02/2018,0.1250882857142857
Wyoming,03/2018,0.1190409623655914
Wyoming,04/2018,0.12213729444444445
Wyoming,05/2018,0.10954693548387096
Wyoming,06/2018,0.079913
Wyoming,07/2018,0.12104928742514967
Wyoming,08/2018,0.16464453591160222
Wyoming,09/2018,0.09230154494382022
Wyoming,10/2018,0.06883293959731542
Wyoming,11/2018,0.0936801340782123
Wyoming,12/2018,0.08935288709677422
