State,Month,o3
Nebraska,12/2017,0.02541477966101695
Nevada,01/2017,0.029949829687499995
Nevada,02/2017,0.033224786713286714
Nevada,03/2017,0.03612348125
Nevada,04/2017,0.044911858369098716
Nevada,05/2017,0.045027487500000005
Nevada,06/2017,0.04526163307493541
Nevada,07/2017,0.046320228824273064
Nevada,08/2017,0.041239520547945205
Nevada,09/2017,0.03841639304123711
Nevada,10/2017,0.03067692246835443
Nevada,11/2017,0.026088400958466453
Nevada,12/2017,0.02086139846153846
New Hampshire,01/2017,0.03109346153846154
New Hampshire,02/2017,0.036572327433628316
New Hampshire,03/2017,0.03919008767123288
New Hampshire,04/2017,0.03991948882681565
New Hampshire,05/2017,0.0329498635097493
New Hampshire,06/2017,0.03292883611111111
New Hampshire,07/2017,0.02730480053908356
New Hampshire,08/2017,0.026384376693766937
New Hampshire,09/2017,0.024210095505617975
New Hampshire,10/2017,0.02713968825910931
New Hampshire,11/2017,0.025135758333333334
New Hampshire,12/2017,0.026593263829787234
New Jersey,01/2017,0.01918697947214076
New Jersey,02/2017,0.02725289164785553
New Jersey,03/2017,0.03472355145631068
New Jersey,04/2017,0.03469214901960784
New Jersey,05/2017,0.03281793461538461
New Jersey,06/2017,0.0357834254473161
New Jersey,07/2017,0.033655875478927205
New Jersey,08/2017,0.028943011472275335
New Jersey,09/2017,0.023730715127701377
New Jersey,10/2017,0.02408586973180077
New Jersey,11/2017,0.019368724458204332
New Jersey,12/2017,0.019101762463343108
New York,01/2017,0.02479072
New York,02/2017,0.032207
New York,03/2017,0.0367971926910299
New York,04/2017,0.036628828141783025
New York,05/2017,0.03396178931140802
New York,06/2017,0.03482849455337691
New York,07/2017,0.030870951269035534
New York,08/2017,0.029598469791666672
New York,09/2017,0.025213508004268942
New York,10/2017,0.027091896694214874
New York,11/2017,0.02305421808510639
New York,12/2017,0.024702310096153847
New Mexico,01/2017,0.02974187795992714
New Mexico,02/2017,0.03209208606557377
New Mexico,03/2017,0.0389836151142355
New Mexico,04/2017,0.046471156829679595
New Mexico,05/2017,0.046472998371335505
New Mexico,06/2017,0.047231770408163266
New Mexico,07/2017,0.043508357027463654
New Mexico,08/2017,0.040488683954619124
New Mexico,09/2017,0.03751419866444073
New Mexico,10/2017,0.03249328548387097
New Mexico,11/2017,0.026010715789473688
New Mexico,12/2017,0.025866499151103565
Oklahoma,01/2017,0.02416695766129032
Oklahoma,02/2017,0.03190905543237251
Oklahoma,03/2017,0.03530700855745721
Oklahoma,04/2017,0.0356751210592686
Oklahoma,05/2017,0.0410424784217016
Oklahoma,06/2017,0.03598857341772152
Oklahoma,07/2017,0.036171202547770696
Oklahoma,08/2017,0.03264653485424588
Oklahoma,09/2017,0.03451201690507152
Oklahoma,10/2017,0.031670492481203
Oklahoma,11/2017,0.0252847109375
Oklahoma,12/2017,0.0233344625
Ohio,01/2017,0.020765923913043476
Ohio,02/2017,0.029775388625592418
Ohio,03/2017,0.03388950673508659
Ohio,04/2017,0.037217894944189096
Ohio,05/2017,0.03723258556832695
Ohio,06/2017,0.03861216743572841
Ohio,07/2017,0.0342752638623327
Ohio,08/2017,0.03209409763880025
Ohio,09/2017,0.027817052631578947
Ohio,10/2017,0.025202057594936704
Ohio,11/2017,0.023395393258426964
Ohio,12/2017,0.022566064516129036
Oregon,01/2017,0.023168890909090908
Oregon,02/2017,0.023095499999999998
Oregon,03/2017,0.02494692857142857
Oregon,04/2017,0.026682132352941177
Oregon,05/2017,0.029713970238095237
Oregon,06/2017,0.028270426380368096
Oregon,07/2017,0.02897441348973607
Oregon,08/2017,0.03427041666666667
Oregon,09/2017,0.026691221183800625
Oregon,10/2017,0.013621925925925924
Oregon,11/2017,0.013174533333333334
Oregon,12/2017,0.012972080645161293
Pennsylvania,01/2017,0.021160690863579475
Pennsylvania,02/2017,0.029778513268156424
Pennsylvania,03/2017,0.035604876646706585
Pennsylvania,04/2017,0.03785197959183673
Pennsylvania,05/2017,0.03485865654060756
Pennsylvania,06/2017,0.03602566752743706
Pennsylvania,07/2017,0.03352161838624339
Pennsylvania,08/2017,0.030498178893178896
Pennsylvania,09/2017,0.025870372870249018
Pennsylvania,10/2017,0.025945352495262163
Pennsylvania,11/2017,0.021842107307439105
Pennsylvania,12/2017,0.021952204501607717
Tennessee,01/2017,0.029133832258064516
Tennessee,02/2017,0.03481134782608696
Tennessee,03/2017,0.0377884
Tennessee,04/2017,0.03637146489859595
Tennessee,05/2017,0.03663789897510981
Tennessee,06/2017,0.031396222383720924
Tennessee,07/2017,0.03172605218617772
Tennessee,08/2017,0.029661951704545452
Tennessee,09/2017,0.02952443419062027
Tennessee,10/2017,0.027841192957746477
Tennessee,11/2017,0.028661513333333333
Tennessee,12/2017,0.02700843870967742
Texas,01/2017,0.024872454788418707
Texas,02/2017,0.029512825536062375
Texas,03/2017,0.03324957692307692
Texas,04/2017,0.035374242549289316
Texas,05/2017,0.03823044523281596
Texas,06/2017,0.029538032317636194
Texas,07/2017,0.026513667424931754
Texas,08/2017,0.028023645524296672
Texas,09/2017,0.0331091314229249
Texas,10/2017,0.030056203507152747
Texas,11/2017,0.025034813432835822
Texas,12/2017,0.0202866002728513
Utah,01/2017,0.033271718614718615
Utah,02/2017,0.036706977161500814
Utah,03/2017,0.03792643593519883
Utah,04/2017,0.04471686647314949
Utah,05/2017,0.04633730204081632
Utah,06/2017,0.04693496164021164
Utah,07/2017,0.04879636226415095
Utah,08/2017,0.04490843407960199
Utah,09/2017,0.04183409729729729
Utah,10/2017,0.034607558620689656
Utah,11/2017,0.02693287482219061
Utah,12/2017,0.02457778080229226
Vermont,01/2017,0.029210732558139527
Vermont,02/2017,0.03651433333333333
Vermont,03/2017,0.0385607311827957
Vermont,04/2017,0.03866492222222222
Vermont,05/2017,0.03186693406593406
Vermont,06/2017,0.03214232467532467
Vermont,07/2017,0.025893890109890114
Vermont,08/2017,0.026142473118279563
Vermont,09/2017,0.021179466666666667
Vermont,10/2017,0.0273552967032967
Vermont,11/2017,0.025599226190476193
Vermont,12/2017,0.02746984946236559
Virginia,01/2017,0.027635483333333332
Virginia,02/2017,0.035751253846153845
Virginia,03/2017,0.0380267304964539
Virginia,04/2017,0.03709225185185185
Virginia,05/2017,0.034520095714285715
Virginia,06/2017,0.03419008733624455
Virginia,07/2017,0.032854205344585094
Virginia,08/2017,0.029836018465909088
Virginia,09/2017,0.025135959641255607
Virginia,10/2017,0.025414150214592274
Virginia,11/2017,0.028101872881355933
Virginia,12/2017,0.027383422764227647
West Virginia,01/2017,0.02151911111111111
West Virginia,02/2017,0.0279312
West Virginia,03/2017,0.0337287928802589
West Virginia,04/2017,0.03495951505016722
West Virginia,05/2017,0.033220524271844666
West Virginia,06/2017,0.032111525083612036
West Virginia,07/2017,0.02977991290322581
West Virginia,08/2017,0.02723484488448845
West Virginia,09/2017,0.023102667796610167
West Virginia,10/2017,0.022895423948220063
West Virginia,11/2017,0.018616733333333333
West Virginia,12/2017,0.0210803152173913
Washington,01/2017,0.028408972222222224
Washington,02/2017,0.032881149532710284
Washington,03/2017,0.036226808000000006
Washington,04/2017,0.037473625
Washington,05/2017,0.03159276009501188
Washington,06/2017,0.029397330935251802
Washington,07/2017,0.02870244103773585
Washington,08/2017,0.031701065326633165
Washington,09/2017,0.02469174054054054
Washington,10/2017,0.027439912087912088
Washington,11/2017,0.028049845238095242
Washington,12/2017,0.025162528301886793
Wisconsin,01/2017,0.026919322580645163
Wisconsin,02/2017,0.03292504444444444
Wisconsin,03/2017,0.035048778355879294
Wisconsin,04/2017,0.03758011783783784
Wisconsin,05/2017,0.03787884703433923
Wisconsin,06/2017,0.03862940496760259
Wisconsin,07/2017,0.03253378996865204
Wisconsin,08/2017,0.029474604602510463
Wisconsin,09/2017,0.03163911135135135
Wisconsin,10/2017,0.0276653796875
Wisconsin,11/2017,0.024161789115646256
Wisconsin,12/2017,0.027445322580645165
Wyoming,01/2017,0.04059719029850746
Wyoming,02/2017,0.04138189466666666
Wyoming,03/2017,0.04083548571428571
Wyoming,04/2017,0.043456290531776916
Wyoming,05/2017,0.04252244707347447
Wyoming,06/2017,0.04187267133757962
Wyoming,07/2017,0.04509704668304668
Wyoming,08/2017,0.043299253605769236
Wyoming,09/2017,0.037495436081242534
Wyoming,10/2017,0.03481551411764706
Wyoming,11/2017,0.030326207196029777
Wyoming,12/2017,0.03411137176470588
